canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount
CCc1ccc(S(C)(=O)=O)c2c1[nH]c1ccccc12,44576071.0,273.4,3.4,58.3,1.0,2.0,2.0,19.0
CCCCCCc1ccc(-c2cn(C(C)C)c(N)n2)cc1,132539946.0,285.4,5.0,43.8,1.0,2.0,7.0,21.0
O=C(/C=C/c1ccccc1)c1ccco1,5705709.0,198.22,3.1,30.2,0.0,2.0,3.0,15.0
C=C1C(=O)OCC1C/C=C(\C)CC(=O)C=C(C)C,11962174.0,248.32,3.2,43.4,0.0,3.0,5.0,18.0
Cc1ccc(-n2nc3[nH]c(=N)c4ccccc4c3n2)cc1,71575613.0,275.31,3.9,69.6,1.0,4.0,1.0,21.0
CC(C)=CCCC(C)CC1CC(=O)c2cc(O)ccc2O1,118722248.0,288.4,4.7,46.5,1.0,3.0,5.0,21.0
C/C(NCCOc1ccccc1Cl)=C1/C(=O)CNC1=O,136502334.0,294.73,1.3,70.9,2.0,4.0,5.0,20.0
Cc1ccc(CCn2ccn3cc([N+](=O)[O-])nc3c2=O)cc1,155517560.0,298.3,2.2,84.0,0.0,4.0,3.0,22.0
C=CCOn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,12367728.0,289.24,2.5,85.3,1.0,7.0,4.0,21.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,5329.0,253.28,0.9,107.0,2.0,6.0,3.0,17.0
CN(C)c1ccc(/C=C/C=O)cc1,5284506.0,175.23,2.3,20.3,0.0,2.0,3.0,13.0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],6842.0,259.73,,55.9,2.0,3.0,0.0,18.0
CC(C)[C@@H](C(=O)O)N1Cc2ccccc2C1=O,1486764.0,233.26,1.9,57.6,1.0,3.0,3.0,17.0
NNc1nc2cc(Cl)c(Cl)cc2s1,49844066.0,234.11,3.2,79.2,2.0,4.0,1.0,13.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3423265.0,288.38,,74.8,0.0,4.0,12.0,18.0
C=CCOc1ccc(OCc2ccccc2)cc1C(=O)NO,90667742.0,299.32,2.8,67.8,2.0,4.0,7.0,22.0
CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,10565532.0,291.41,2.0,91.9,2.0,4.0,7.0,19.0
O=CN(O)CCCP(=O)(O)O,572.0,183.1,-2.2,98.1,3.0,5.0,4.0,11.0
Cc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3o2)cc1,25269941.0,268.27,3.9,71.9,0.0,4.0,2.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
O=C(O)[C@@H]1CCCc2c1[nH]c1ccc(Cl)cc21,7074071.0,249.69,3.1,53.1,2.0,2.0,1.0,17.0
CC1C(=O)CC(C(C)(C)C)N(C(C)(C)C)C1C(C)(C)C,76333573.0,281.5,4.9,20.3,0.0,2.0,3.0,20.0
CO[C@H]1CCCCCCCCC[C@@H](C)OC(=O)/C=C/C1=O,56667024.0,296.4,4.4,52.6,0.0,4.0,1.0,21.0
O=c1ccsn1Cc1ccccc1,647455.0,191.25,1.5,45.6,0.0,2.0,2.0,13.0
OCCN(CCO)Cc1ccc(Cl)cc1Cl,35268423.0,264.14,1.9,43.7,2.0,3.0,6.0,16.0
CCCn1cc(C(=O)OCC)c(=O)c2cc(F)c(F)cc21,947969.0,295.28,2.6,46.6,0.0,6.0,5.0,21.0
Fc1ccc(-n2nnnc2Nc2nccs2)cc1Cl,137537905.0,296.71,3.2,96.8,1.0,7.0,3.0,19.0
Cc1ccccc1-n1nnc2sc3c(c2c1=O)CCCC3,46933501.0,297.4,4.7,73.3,0.0,4.0,1.0,21.0
c1ccc(CCC2CCCNC2)cc1,12443047.0,189.3,2.9,12.0,1.0,1.0,3.0,14.0
NCCC[C@H](N)C(=O)NC(c1ccccc1)c1ccccc1,155544351.0,297.4,1.6,81.1,3.0,3.0,7.0,22.0
CC1=C(O)C(=O)c2ccc(C)cc2C1=O,10560021.0,202.21,1.6,54.4,1.0,3.0,0.0,15.0
OB1OCC=C1c1cccc(I)c1,172465008.0,285.88,,29.5,1.0,2.0,1.0,13.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CC1=C[C@H](C(N)=O)N2C[C@@H]1N(O[C@H](F)C(=O)O)C2=O,146170993.0,273.22,-1.0,113.0,2.0,6.0,4.0,19.0
O=C(NC1CCCC1)c1ccc(-c2ccc(O)c(O)c2)o1,44590925.0,287.31,2.8,82.7,3.0,4.0,3.0,21.0
O=[N+]([O-])c1ccc2nc(-c3ccccc3)oc2c1,3092936.0,240.21,3.3,71.9,0.0,4.0,1.0,18.0
CNC1=NC(=O)NOC1,135415574.0,129.12,-0.8,62.7,2.0,3.0,0.0,9.0
[C-]#[N+]c1ccc(NC(=O)c2ccccc2)cc1,58674132.0,222.24,2.3,33.5,1.0,2.0,2.0,17.0
CC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-],404291.0,218.21,0.3,63.5,0.0,4.0,1.0,16.0
Cc1ccc2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,12634029.0,254.24,3.1,74.6,2.0,4.0,0.0,19.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Cc1cc2cc(C(N)=O)c(N)nc2nc1C(F)(F)F,71451585.0,270.21,1.8,94.9,2.0,7.0,1.0,19.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,5578.0,290.32,0.9,106.0,2.0,7.0,5.0,21.0
O=C1C(O)Oc2ccccc2N1O,28495.0,181.15,0.0,70.0,2.0,4.0,0.0,13.0
c1ccc2oc(N3CCCNCC3)nc2c1,22142317.0,217.27,1.9,41.3,1.0,4.0,1.0,16.0
C=CCOc1ccc(OCC=C)c(C(=O)NO)c1,90667582.0,249.26,1.9,67.8,2.0,4.0,7.0,18.0
Cc1ccc(CC(=O)Nc2c(N)cccc2O)cc1,44428873.0,256.3,2.0,75.4,3.0,3.0,3.0,19.0
O=c1ccc2ccc(OCCCCBr)cc2o1,12447119.0,297.14,3.4,35.5,0.0,3.0,5.0,17.0
CCn1cc(C=C2C(=O)OC(C)(C)OC2=O)c2ccccc21,73350851.0,299.32,3.1,57.5,0.0,4.0,2.0,22.0
CCC(CC)CC1(C)SC(O)=C(C)C1=O,135411015.0,228.35,3.5,62.6,1.0,3.0,4.0,15.0
NC[C@H](O)C[C@@H](N)CC(=O)NN1CCC[C@H]1C(=O)O,44317789.0,274.32,-4.0,142.0,5.0,7.0,7.0,19.0
OCCc1ccc(O)c(O)c1,82755.0,154.16,-0.7,60.7,3.0,3.0,2.0,11.0
Cc1n[nH]c2c1C(c1cccs1)C(C#N)=C(N)O2,2814547.0,258.3,2.0,116.0,2.0,5.0,1.0,18.0
O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,5281616.0,270.24,2.3,87.0,3.0,5.0,1.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Cc1cccc2c1OCN(c1ccc(F)cc1)C2,46886876.0,243.28,3.8,12.5,0.0,3.0,1.0,18.0
CC(=O)Cn1cc(C(C)=O)c(=O)c2cc(F)c(Cl)cc21,,,,,,,,
COc1ccc(/C=C/[N+](=O)[O-])cc1O,672279.0,195.17,1.9,75.3,1.0,4.0,2.0,14.0
N=C(N)c1ccc(-c2ccc(-c3ccco3)o2)nc1,76322922.0,253.26,1.3,89.0,2.0,4.0,3.0,19.0
CCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)C2,14570156.0,284.36,2.7,87.1,2.0,5.0,3.0,21.0
O=C(O)c1nccn1Cc1ccc(O)cc1,13478008.0,218.21,1.1,75.4,2.0,4.0,3.0,16.0
OCCN(CCO)c1nccc(-n2cnc3ccccc32)n1,172444013.0,299.33,0.8,87.3,2.0,6.0,6.0,22.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=c1cc(Nc2ccc3ccccc3c2)[nH]c(=O)[nH]1,309881.0,253.26,2.0,70.2,3.0,3.0,2.0,19.0
CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O,44384785.0,286.55,,78.4,1.0,5.0,3.0,18.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,5329.0,253.28,0.9,107.0,2.0,6.0,3.0,17.0
Cc1cc2c(c(O)c1O)C(=O)C=C(N)C2=O,145721042.0,219.19,1.2,101.0,3.0,5.0,0.0,16.0
CC(C)CCOc1cc(C(N)=O)cc2ccccc12,137640662.0,257.33,3.7,52.3,1.0,2.0,5.0,19.0
CCNc1c2ccccc2[n+](C)c2ccccc12.[Cl-],164623782.0,272.77,,15.9,1.0,2.0,2.0,19.0
O=CC1=CC=C(c2ccccc2)CC1c1ccccc1,24859121.0,260.3,4.0,17.1,0.0,1.0,3.0,20.0
C=CCC(Nc1ccc(F)cc1)c1cccc(OCC)c1,76329876.0,285.4,5.0,21.3,1.0,3.0,7.0,21.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
CSCC[C@H](N)C(=O)N[C@@H](CCl)C(=O)O,44294030.0,254.74,-3.3,118.0,3.0,5.0,7.0,15.0
Clc1ccccc1CN(Cc1nnn[nH]1)c1ccccc1,101909203.0,299.76,3.2,57.7,1.0,4.0,5.0,21.0
CC(C)(CNc1ccc(C(N)=O)cn1)c1ccccc1,112727036.0,269.34,2.9,68.0,2.0,3.0,5.0,20.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,5329.0,253.28,0.9,107.0,2.0,6.0,3.0,17.0
O=C1CCCC2=C1C(c1ccccc1)C1=C(CCCC1=O)O2,340151.0,294.3,2.3,43.4,0.0,3.0,1.0,22.0
Cc1nc(N2CCOCC2)c2scc([N+](=O)[O-])c2n1,155557947.0,280.31,1.6,112.0,0.0,7.0,1.0,19.0
O=C(/N=N/C(=O)Nc1ccccc1)NCc1cccnc1,141606959.0,283.29,1.8,95.8,2.0,3.0,3.0,21.0
O=c1[nH]cnc2c1cc(-c1ccccc1)n2-c1ccccc1,136205715.0,287.3,3.1,46.4,1.0,2.0,2.0,22.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,5281614.0,286.24,2.0,107.0,4.0,6.0,1.0,21.0
CC(C)CCOc1cc(C(N)=O)cc2ccccc12,137640662.0,257.33,3.7,52.3,1.0,2.0,5.0,19.0
Cc1nc(C(=O)NC(C)C)c(-c2ccc(O)c(O)c2)s1,25130837.0,292.36,2.7,111.0,3.0,5.0,3.0,20.0
COC(=O)C1(F)C(=O)NC(=O)NC1OC,339703.0,220.16,-0.7,93.7,2.0,6.0,3.0,15.0
OB(O)c1cccc(Cn2cc(-c3cccs3)nn2)c1,145961310.0,285.1,,99.4,2.0,5.0,4.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=c1c2ccccc2[se]n1C1CCCCC1,10564673.0,280.23,,20.3,0.0,1.0,1.0,16.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
Fc1cccc(COc2ccc3c(c2)CCc2nccn2-3)c1,71574537.0,294.3,3.6,27.1,0.0,3.0,3.0,22.0
NNC(=O)Cn1ncc2cc([N+](=O)[O-])ccc21,46934769.0,235.2,0.1,119.0,2.0,5.0,2.0,17.0
CC(N)C(=O)NC(C1CCCCC1)P(=O)(O)O,44310619.0,264.26,-2.5,113.0,4.0,5.0,4.0,17.0
N#Cc1ccc(-n2nc3c(c2O)SCC3)cc1,44320931.0,243.29,2.0,81.4,1.0,4.0,1.0,17.0
O=[N+]([O-])c1ccc2ncnc(O)c2c1,135398502.0,191.14,0.5,87.3,1.0,4.0,0.0,14.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=C(NC1CC1)c1ccc(-c2ccc(O)c(O)c2)o1,44590923.0,259.26,2.1,82.7,3.0,4.0,3.0,19.0
O=c1c2ccccc2[se]n1-c1ccccc1,3194.0,274.19,,20.3,0.0,1.0,1.0,16.0
O=C(O)c1cn(Cc2cccc(B(O)O)c2)nn1,168288020.0,247.02,,108.0,3.0,6.0,4.0,18.0
Cc1cc2c(C)c(C)sc2cc1Br,3012973.0,255.18,4.8,28.2,0.0,1.0,0.0,13.0
CCOC(=O)ONC(=O)C(CC)c1ccccc1,,,,,,,,
CCn1c(NCC(C)C)nc2c(N)ncnc21,44591055.0,234.3,1.7,81.7,2.0,5.0,4.0,17.0
Cc1ccc(-n2ccnc2/C=N/O)cc1,136240094.0,201.22,2.1,50.4,1.0,3.0,2.0,15.0
OCCN(CCO)c1nccc(-n2ccnc2)n1,172470559.0,249.27,-0.6,87.3,2.0,6.0,6.0,18.0
COc1ccc(C(=O)OCc2ccccc2)cc1OC,837750.0,272.29,3.4,44.8,0.0,4.0,6.0,20.0
CCCc1c(O)cc(CC)oc1=O,137654188.0,182.22,2.3,46.5,1.0,3.0,3.0,13.0
NCCC[C@H](N)CNC(=O)CCCc1ccccc1,122530693.0,263.38,0.7,81.1,3.0,3.0,9.0,19.0
O=C(CNO)Cc1c[nH]c2ccc(Cl)cc12,44418811.0,238.67,1.4,65.1,3.0,3.0,4.0,16.0
O=[N+]([O-])c1cccc(B(O)O)c1,1677.0,166.93,,86.3,2.0,4.0,1.0,12.0
C[C@H](NC1=CC(=O)C=C(C(C)(C)C)C1=O)C(=O)O,122193560.0,251.28,1.9,83.5,2.0,5.0,4.0,18.0
Clc1ccc(N2COc3ccc4ccccc4c3C2)cc1,240938.0,295.8,5.3,12.5,0.0,2.0,1.0,21.0
CCCCNC(=O)[C@@H](N)Cc1ccccc1,11276051.0,220.31,1.9,55.1,2.0,2.0,6.0,16.0
Nc1nc(=O)[nH]c2c1C(c1ccccc1)c1ccccc1O2,76319471.0,291.3,2.2,76.7,2.0,3.0,1.0,22.0
FC(F)(F)Oc1ccc(-n2nccn2)cc1,122188134.0,229.16,3.1,39.9,0.0,6.0,2.0,16.0
CCOC(=O)CCSc1ccc(C(C)(C)C)cc1,43093183.0,266.4,4.3,51.6,0.0,3.0,7.0,18.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,657237.0,285.23,-0.6,140.0,4.0,9.0,2.0,20.0
CCOC(=O)c1[nH]nc2c1C(=O)c1ccccc1C2=O,343946.0,270.24,2.0,89.1,1.0,5.0,3.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12,65633.0,288.28,-0.8,155.0,3.0,7.0,5.0,19.0
Oc1nc2nonc2nc1-c1cccc(F)c1,136142404.0,232.17,0.9,80.4,1.0,6.0,1.0,17.0
C[C@@H]1O[C@@H]1P(=O)(O)O,446987.0,138.06,-1.4,70.1,2.0,4.0,1.0,8.0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,6604200.0,238.16,-0.5,121.0,1.0,6.0,2.0,17.0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],24944097.0,287.23,,141.0,1.0,6.0,3.0,18.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,5447130.0,198.14,0.2,126.0,2.0,5.0,2.0,14.0
O=c1[nH]c(-c2ccc3c(c2)OCO3)nc2ccccc12,135448518.0,266.25,2.2,59.9,1.0,4.0,1.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,5281614.0,286.24,2.0,107.0,4.0,6.0,1.0,21.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=C(/C=C/c1ccc2ccccc2n1)c1ccccn1,68103720.0,260.29,3.3,42.9,0.0,3.0,3.0,20.0
Oc1cccc(-c2nnnn2-c2nc3ccccc3s2)c1,155526597.0,295.32,3.3,105.0,1.0,6.0,2.0,21.0
C=C1CC[C@@]2(O)C[C@@H]1[C@]2(C)[C@@H](CC=C(C)C)OC(C)=O,,,,,,,,
CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccccc1,2779708.0,284.31,2.5,85.3,1.0,5.0,4.0,21.0
O=C(NO)C1COC(c2c(Cl)cccc2Cl)=N1,44337948.0,275.08,1.8,70.9,2.0,4.0,2.0,17.0
CCOC1=C(C(=O)[O-])N2C(=O)[C@H]([C@@H](C)O)[C@H]2S1.[Na+],44327089.0,281.26,,115.0,1.0,6.0,4.0,18.0
CC1(C)C/C=C2/CCC(O)C(C)(CC3OC31)OC2,,,,,,,,
CC(C)NCCOc1cc(C(N)=O)cc2ccccc12,162657312.0,272.34,2.4,64.4,2.0,3.0,6.0,20.0
C[C@H]1CCCC[C@H]1Oc1ncc(C(N)=O)c(N)n1,70683673.0,250.3,1.8,104.0,2.0,5.0,3.0,18.0
CCNC1=CC(=O)C(C(C)(C)C)=CC1=O,127049487.0,207.27,2.3,46.2,1.0,3.0,3.0,15.0
C[C@H]1N[C@H](CCCCN)C(=O)NNC1=O,162649175.0,214.27,-1.0,96.3,4.0,4.0,4.0,15.0
CCCCCCC1C/C(=N\O)c2c(O)cc(O)cc2O1,137007040.0,279.33,3.9,82.3,3.0,5.0,5.0,20.0
CCCc1ccsc1-c1ccc(O)c(O)c1,25131838.0,234.32,3.9,68.7,2.0,3.0,3.0,16.0
CC1=C[C@@H]2CN(C(=O)N2O[C@@H](F)C(=O)O)[C@@H]1C(N)=O,134348092.0,273.22,-1.0,113.0,2.0,6.0,4.0,19.0
Cc1sc(C)c(-c2ccc(O)c(O)c2)c1Br,25130845.0,299.19,4.0,68.7,2.0,3.0,1.0,16.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C3[C@@H](N)CCC[C@@H]3[C@H]12,10355553.0,266.29,-3.2,104.0,3.0,5.0,2.0,19.0
C/C(=N/N=C1\NC(=O)CS1)C1CCCCC1,137100916.0,239.34,2.6,79.1,1.0,4.0,2.0,16.0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,5329.0,253.28,0.9,107.0,2.0,6.0,3.0,17.0
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,6604200.0,238.16,-0.5,121.0,1.0,6.0,2.0,17.0
CCN1CCC(C)c2cc(Cc3cnc(N)nc3N)ccc21,23323044.0,297.4,2.6,81.1,2.0,5.0,3.0,22.0
COc1ccc(Cn2ccnc2C(=O)O)cc1,13478004.0,232.23,1.4,64.4,1.0,4.0,4.0,17.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
O=c1[nH]c(-c2ccc(-c3ccccc3)cc2)nc2ccccc12,136119415.0,298.3,4.0,41.5,1.0,2.0,2.0,23.0
Cc1cccc2c1CC1Sc3nnc(C(C)C)n3N=C21,56642024.0,284.4,3.5,68.4,0.0,4.0,1.0,20.0
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4421.0,232.23,1.4,70.5,1.0,5.0,2.0,17.0
Oc1cccc(-c2nc3ccccc3[nH]2)c1,763204.0,210.23,2.9,48.9,2.0,2.0,1.0,16.0
N#CC(C#N)=NNc1cccc(Cl)c1,2603.0,204.61,3.4,72.0,1.0,4.0,2.0,14.0
CCOC(=O)CC1Oc2cc(N)ccc2NC1=O,155526263.0,250.25,0.4,90.7,2.0,5.0,4.0,18.0
Cc1nc(C(=O)NC2CC2)c(-c2ccc(O)c(O)c2)s1,25131490.0,290.34,2.5,111.0,3.0,5.0,3.0,20.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,104838.0,299.35,-0.7,142.0,3.0,6.0,6.0,20.0
N=C(N)c1ccc(-c2ccc(-c3cccs3)s2)nc1,76333764.0,285.4,2.6,119.0,2.0,4.0,3.0,19.0
CCCCCCCCOC(=O)c1ccncc1,531658.0,235.32,4.6,39.2,0.0,3.0,9.0,17.0
Cc1nccc2c1[nH]c1ccccc12,5281404.0,182.22,3.6,28.7,1.0,1.0,0.0,14.0
S=C(Nc1ccccc1)Nc1cccc2cccnc12,12528648.0,279.4,3.9,69.0,2.0,2.0,2.0,20.0
Cc1cc(O)c2c(c1O)[C@H](O)[C@H]1C[C@@H](O)C[C@@H](O)[C@@H]1C2=O,137659528.0,294.3,0.3,118.0,5.0,6.0,0.0,21.0
COc1ccc(C(=O)c2cc(OC)cc(OC)c2)cc1,24261633.0,272.29,3.2,44.8,0.0,4.0,5.0,20.0
COC12C=CC(=O)C=C1C(=O)c1ccccc1O2,50916264.0,242.23,1.3,52.6,0.0,4.0,1.0,18.0
CC1=CC(=O)C(C(C)(C)CC(=O)O)=C(C)C1=O,3035632.0,236.26,1.4,71.4,1.0,4.0,3.0,17.0
O=c1[nH]nc(-c2cccc(OCc3ccccc3)c2)o1,54153897.0,268.27,2.9,59.9,1.0,4.0,4.0,20.0
CCCCCCCCCCC[C@H](O)[C@H](C)N,90683233.0,229.4,4.7,46.3,2.0,2.0,11.0,16.0
Clc1ccc(/N=C/c2cccs2)cc1,317336.0,221.71,3.9,40.6,0.0,2.0,2.0,14.0
O=C1O[C@@H](CO)CN1c1ccc(-c2ccccc2)c(F)c1,168292541.0,287.28,2.6,49.8,1.0,4.0,3.0,21.0
COc1ccc2[nH]c(-c3ccccc3O)nc2c1,135842959.0,240.26,2.3,58.1,2.0,3.0,2.0,18.0
COc1cc2[nH]c3ccccc3c2cc1C=O,6483032.0,225.24,2.8,42.1,1.0,2.0,2.0,17.0
CC1=CC(=O)[C@]2(O1)C(=O)N[C@@](O)(CC(C)C)[C@@H]2O,155539534.0,255.27,-0.1,95.9,3.0,5.0,2.0,18.0
CC1(C)C(=O)ON(Cc2ccccc2Cl)C1=O,12811046.0,253.68,2.8,46.6,0.0,3.0,2.0,17.0
NC(=S)N/N=C/c1cc2ccccc2nc1Cl,15764433.0,264.73,2.4,95.4,2.0,3.0,2.0,17.0
CC1=CC=C(C=O)C(C)(c2ccc(-c3ccccc3)cc2)C1,24859556.0,288.4,4.9,17.1,0.0,1.0,3.0,22.0
O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,10467565.0,255.66,0.2,81.7,3.0,3.0,2.0,17.0
CC(C)=CCC/C(C)=C/Cc1cc(O)ccc1O,5281857.0,246.34,5.0,40.5,2.0,2.0,5.0,18.0
N#C[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],71535518.0,269.21,,122.0,0.0,6.0,2.0,17.0
O=C(O)c1cn(C2CC2)c2cc(Cl)c(F)cc2c1=O,483180.0,281.66,2.4,57.6,1.0,5.0,2.0,19.0
O=C(C[C@@H]1CCCCN1)Cn1cnc2nccnc2c1=O,168283245.0,287.32,-0.4,87.6,1.0,6.0,4.0,21.0
OCCC[n+]1ccccc1,459573.0,138.19,0.6,24.1,1.0,1.0,3.0,10.0
Cc1cccc(NC(=O)c2nc3ccccc3n2C)c1C,110469069.0,279.34,3.3,46.9,1.0,2.0,2.0,21.0
