molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL572994,O=c1ccsn1Cc1ccccc1,MIC,'=',12.5,ug.mL-1,CHEMBL1052821
CHEMBL1240991,OCCN(CCO)Cc1ccc(Cl)cc1Cl,MIC,'=',256.0,ug.mL-1,CHEMBL1246427
CHEMBL1888092,CCCn1cc(C(=O)OCC)c(=O)c2cc(F)c(F)cc21,MIC,'=',32.0,ug.mL-1,CHEMBL5529167
CHEMBL4166829,Fc1ccc(-n2nnnc2Nc2nccs2)cc1Cl,MIC,'>',865000.0,nM,CHEMBL4156679
CHEMBL1241993,Cc1ccccc1-n1nnc2sc3c(c2c1=O)CCCC3,MIC,'=',37.5,ug.mL-1,CHEMBL1246983
CHEMBL55554,c1ccc(CCC2CCCNC2)cc1,MIC,'>',128.0,ug.mL-1,CHEMBL678487
CHEMBL4527777,NCCC[C@H](N)C(=O)NC(c1ccccc1)c1ccccc1,MIC,'=',64.0,ug.mL-1,CHEMBL4364544
CHEMBL448082,CC1=C(O)C(=O)c2ccc(C)cc2C1=O,MIC,'>',800.0,ug.mL-1,CHEMBL995513
CHEMBL5429114,OB1OCC=C1c1cccc(I)c1,MIC,'>',50.0,ug.mL-1,CHEMBL5346422
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1262897
CHEMBL4780525,CC1=C[C@H](C(N)=O)N2C[C@@H]1N(O[C@H](F)C(=O)O)C2=O,MIC,'=',0.25,ug.mL-1,CHEMBL4772048
CHEMBL459997,O=C(NC1CCCC1)c1ccc(-c2ccc(O)c(O)c2)o1,MIC,'=',19.0,ug.mL-1,CHEMBL1023922
CHEMBL502315,O=[N+]([O-])c1ccc2nc(-c3ccccc3)oc2c1,MIC,'=',50.0,ug.mL-1,CHEMBL974323
CHEMBL3275245,CNC1=NC(=O)NOC1,MIC,'=',320000.0,nM,CHEMBL3285539
CHEMBL5417491,[C-]#[N+]c1ccc(NC(=O)c2ccccc2)cc1,MIC,'>=',64000.0,nM,CHEMBL5355195
CHEMBL475335,CC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-],MIC,'=',128.0,ug.mL-1,CHEMBL1691507
CHEMBL405992,Cc1ccc2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,MIC,'>',256.0,ug.mL-1,CHEMBL3266295
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'=',0.5,ug.mL-1,CHEMBL1217998
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.19,ug.mL-1,CHEMBL1665973
CHEMBL2165170,Cc1cc2cc(C(N)=O)c(N)nc2nc1C(F)(F)F,MIC,'=',0.063,ug.mL-1,CHEMBL2167580
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'=',0.25,ug.mL-1,CHEMBL1006593
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,MIC,'>',256.0,ug.mL-1,CHEMBL1633445
CHEMBL483002,O=C1C(O)Oc2ccccc2N1O,MIC,'=',6900500.0,nM,CHEMBL4384408
CHEMBL2234428,c1ccc2oc(N3CCCNCC3)nc2c1,MIC,'=',75.0,ug.mL-1,CHEMBL3062615
CHEMBL3221105,C=CCOc1ccc(OCC=C)c(C(=O)NO)c1,MIC,,,,CHEMBL3224626
CHEMBL398207,Cc1ccc(CC(=O)Nc2c(N)cccc2O)cc1,MIC,'=',250.0,ug.mL-1,CHEMBL891841
CHEMBL4283465,O=c1ccc2ccc(OCCCCBr)cc2o1,MIC,'>',256000.0,nM,CHEMBL4253348
CHEMBL2429919,CCn1cc(C=C2C(=O)OC(C)(C)OC2=O)c2ccccc21,MIC,'=',15.0,ug.mL-1,CHEMBL2434493
CHEMBL200397,CCC(CC)CC1(C)SC(O)=C(C)C1=O,MIC,'>',1000000.0,nM,CHEMBL858887
CHEMBL78711,NC[C@H](O)C[C@@H](N)CC(=O)NN1CCC[C@H]1C(=O)O,MIC,'>',256.0,ug.mL-1,CHEMBL677286
CHEMBL1950045,OCCc1ccc(O)c(O)c1,MIC,'=',125.0,ug.mL-1,CHEMBL1008886
CHEMBL1510362,Cc1n[nH]c2c1C(c1cccs1)C(C#N)=C(N)O2,MIC,'=',1.56,ug.mL-1,CHEMBL2065728
CHEMBL309490,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,MIC,'>',125.0,ug.mL-1,CHEMBL678555
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',32.0,ug.mL-1,CHEMBL1259456
CHEMBL1098917,Cc1cccc2c1OCN(c1ccc(F)cc1)C2,MIC,'=',50.0,ug.mL-1,CHEMBL1105571
CHEMBL5597300,CC(=O)Cn1cc(C(C)=O)c(=O)c2cc(F)c(Cl)cc21,MIC,'=',868000.0,nM,CHEMBL5585825
CHEMBL594180,COc1ccc(/C=C/[N+](=O)[O-])cc1O,MIC,'=',25.0,ug,CHEMBL1073939
CHEMBL2260583,N=C(N)c1ccc(-c2ccc(-c3ccco3)o2)nc1,MIC,'=',15.0,ug.mL-1,CHEMBL3055399
CHEMBL58481,CCc1cc(Cc2cnc(N)nc2N)cc2c1OC(C)C2,MIC,'=',30.0,ug.mL-1,CHEMBL857098
CHEMBL165087,O=C(O)c1nccn1Cc1ccc(O)cc1,MIC,'<',0.25,ug.mL-1,CHEMBL5155372
CHEMBL5402016,OCCN(CCO)c1nccc(-n2cnc3ccccc32)n1,MIC,'=',856000.0,nM,CHEMBL5383700
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL1218081
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.25,ug.mL-1,CHEMBL4187463
CHEMBL124937,O=c1cc(Nc2ccc3ccccc3c2)[nH]c(=O)[nH]1,MIC,'>',20000.0,nM,CHEMBL4296185
CHEMBL171951,CCCS(=O)(=O)N1N=Cc2cc(Cl)ccc2B1O,MIC,'=',10.0,ug.mL-1,CHEMBL859382
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,MIC,'=',16000.0,nM,CHEMBL3270044
CHEMBL4466232,Cc1cc2c(c(O)c1O)C(=O)C=C(N)C2=O,MIC,,,,CHEMBL4340482
CHEMBL4073412,CC(C)CCOc1cc(C(N)=O)cc2ccccc12,MIC,'=',32.0,ug.mL-1,CHEMBL4720147
CHEMBL4867999,CCNc1c2ccccc2[n+](C)c2ccccc12.[Cl-],MIC,'>',64.0,ug.mL-1,CHEMBL4838237
CHEMBL497659,O=CC1=CC=C(c2ccccc2)CC1c1ccccc1,MIC,'>',100.0,ug.mL-1,CHEMBL999555
CHEMBL2237526,C=CCC(Nc1ccc(F)cc1)c1cccc(OCC)c1,MIC,'=',3.125,ug.mL-1,CHEMBL3050038
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.02,ug.mL-1,CHEMBL1051735
CHEMBL62005,CSCC[C@H](N)C(=O)N[C@@H](CCl)C(=O)O,MIC,'=',1.56,ug.mL-1,CHEMBL676169
CHEMBL3621476,Clc1ccccc1CN(Cc1nnn[nH]1)c1ccccc1,MIC,'=',16.0,ug.mL-1,CHEMBL3623996
CHEMBL5276443,CC(C)(CNc1ccc(C(N)=O)cn1)c1ccccc1,MIC,'=',512.0,ug.mL-1,CHEMBL5252130
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,MIC,'>',256.0,ug.mL-1,CHEMBL1285175
CHEMBL1457292,O=C1CCCC2=C1C(c1ccccc1)C1=C(CCCC1=O)O2,MIC,'>',128.0,ug.mL-1,CHEMBL5389823
CHEMBL4559805,Cc1nc(N2CCOCC2)c2scc([N+](=O)[O-])c2n1,MIC,'>',913000.0,nM,CHEMBL4337932
CHEMBL395625,O=C(/N=N/C(=O)Nc1ccccc1)NCc1cccnc1,MIC,'=',64.0,ug.mL-1,CHEMBL903484
CHEMBL4289883,O=c1[nH]cnc2c1cc(-c1ccccc1)n2-c1ccccc1,MIC,'=',2.8,ug.mL-1,CHEMBL4274928
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,MIC,'=',0.8533,ug.mL-1,CHEMBL5134749
CHEMBL4073412,CC(C)CCOc1cc(C(N)=O)cc2ccccc12,MIC,'=',16.0,ug.mL-1,CHEMBL3999144
CHEMBL446869,Cc1nc(C(=O)NC(C)C)c(-c2ccc(O)c(O)c2)s1,MIC,'=',121.0,ug.mL-1,CHEMBL989018
CHEMBL1970585,COC(=O)C1(F)C(=O)NC(=O)NC1OC,MIC,'>',10000.0,nM,CHEMBL4296185
CHEMBL4128268,OB(O)c1cccc(Cn2cc(-c3cccs3)nn2)c1,MIC,'<=',0.03,ug.mL-1,CHEMBL4123733
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'<=',1.0,ug.mL-1,CHEMBL1286720
CHEMBL3978941,O=c1c2ccccc2[se]n1C1CCCCC1,MIC,'=',8.0,ug.mL-1,CHEMBL4674622
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',3.0,ug.mL-1,CHEMBL1216578
CHEMBL2314948,Fc1cccc(COc2ccc3c(c2)CCc2nccn2-3)c1,MIC,'=',50.0,ug.mL-1,CHEMBL2317805
CHEMBL1241308,NNC(=O)Cn1ncc2cc([N+](=O)[O-])ccc21,MIC,'=',32.0,ug.mL-1,CHEMBL1246165
CHEMBL70248,CC(N)C(=O)NC(C1CCCCC1)P(=O)(O)O,MIC,'>',512.0,ug.mL-1,CHEMBL673720
CHEMBL84684,N#Cc1ccc(-n2nc3c(c2O)SCC3)cc1,MIC,'=',64.0,ug.mL-1,CHEMBL676262
CHEMBL1373905,O=[N+]([O-])c1ccc2ncnc(O)c2c1,MIC,'>',700000.0,nM,CHEMBL4337932
CHEMBL2297930,,MIC,'=',0.25,ug,CHEMBL3070551
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',4.0,ug.mL-1,CHEMBL1674386
CHEMBL459996,O=C(NC1CC1)c1ccc(-c2ccc(O)c(O)c2)o1,MIC,'=',26.0,ug.mL-1,CHEMBL1023922
CHEMBL51085,O=c1c2ccccc2[se]n1-c1ccccc1,MIC,'>=',128.0,ug.mL-1,CHEMBL4674590
CHEMBL5195289,O=C(O)c1cn(Cc2cccc(B(O)O)c2)nn1,MIC,'>',64.0,ug.mL-1,CHEMBL5117449
CHEMBL185092,Cc1cc2c(C)c(C)sc2cc1Br,MIC,,,ug.mL-1,CHEMBL831400
CHEMBL5560646,CCOC(=O)ONC(=O)C(CC)c1ccccc1,MIC,'=',128.0,ug.mL-1,CHEMBL5518984
CHEMBL456623,CCn1c(NCC(C)C)nc2c(N)ncnc21,MIC,'=',50.0,ug.mL-1,CHEMBL1033185
CHEMBL3093084,Cc1ccc(-n2ccnc2/C=N/O)cc1,MIC,'=',25.0,ug.mL-1,CHEMBL3095824
CHEMBL5438051,OCCN(CCO)c1nccc(-n2ccnc2)n1,MIC,'=',1028000.0,nM,CHEMBL5383700
CHEMBL448819,COc1ccc(C(=O)OCc2ccccc2)cc1OC,MIC,'=',18.0,ug.mL-1,CHEMBL953468
CHEMBL4092432,CCCc1c(O)cc(CC)oc1=O,MIC,'=',1.0,ug.mL-1,CHEMBL4726362
CHEMBL4571378,NCCC[C@H](N)CNC(=O)CCCc1ccccc1,MIC,'>',200.0,ug.mL-1,CHEMBL4386795
CHEMBL373863,O=C(CNO)Cc1c[nH]c2ccc(Cl)cc12,MIC,'=',25.0,ug.mL-1,CHEMBL913370
CHEMBL20945,O=[N+]([O-])c1cccc(B(O)O)c1,MIC,'<=',0.06,ug.mL-1,CHEMBL5117450
CHEMBL3628563,C[C@H](NC1=CC(=O)C=C(C(C)(C)C)C1=O)C(=O)O,MIC,'=',1247010.0,nM,CHEMBL3631521
CHEMBL1096935,Clc1ccc(N2COc3ccc4ccccc4c3C2)cc1,MIC,'>',50.0,ug.mL-1,CHEMBL1105571
CHEMBL5205018,CCCCNC(=O)[C@@H](N)Cc1ccccc1,MIC,'=',312.0,nM,CHEMBL5124425
CHEMBL2262798,Nc1nc(=O)[nH]c2c1C(c1ccccc1)c1ccccc1O2,MIC,'=',62.5,ug.mL-1,CHEMBL3058345
CHEMBL3612336,FC(F)(F)Oc1ccc(-n2nccn2)cc1,MIC,'=',256.0,ug.mL-1,CHEMBL3614228
CHEMBL3092954,CCOC(=O)CCSc1ccc(C(C)(C)C)cc1,MIC,'>',128.0,ug.mL-1,CHEMBL3095134
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.06,ug.mL-1,CHEMBL1280224
CHEMBL1568,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,MIC,'>',100000.0,nM,CHEMBL987362
CHEMBL193314,CCOC(=O)c1[nH]nc2c1C(=O)c1ccccc1C2=O,MIC,'=',25.0,ug.mL-1,CHEMBL830936
CHEMBL70088,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12,MIC,'=',1.0,ug.mL-1,CHEMBL679867
CHEMBL106637,Oc1nc2nonc2nc1-c1cccc(F)c1,MIC,'=',128.0,ug.mL-1,CHEMBL673754
CHEMBL1757,C[C@@H]1O[C@@H]1P(=O)(O)O,MIC,'=',0.5,ug.mL-1,CHEMBL1676026
CHEMBL572,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,MIC,'=',25.0,ug.mL-1,CHEMBL1251161
CHEMBL2107817,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],MIC,'=',4.0,ug.mL-1,CHEMBL5247780
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',1.5,ug.mL-1,CHEMBL957912
CHEMBL869,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,MIC,'=',6.0,ug.mL-1,CHEMBL1059071
CHEMBL4077094,O=c1[nH]c(-c2ccc3c(c2)OCO3)nc2ccccc12,MIC,'>',128.0,ug.mL-1,CHEMBL4036416
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.125,ug.mL-1,CHEMBL1263283
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.12,ug.mL-1,CHEMBL1666867
CHEMBL31574,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,MIC,'=',0.3413,ug.mL-1,CHEMBL5134751
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.19,ug.mL-1,CHEMBL1284061
CHEMBL3714967,O=C(/C=C/c1ccc2ccccc2n1)c1ccccn1,MIC,'>',32.0,ug.mL-1,CHEMBL4817948
CHEMBL4458162,Oc1cccc(-c2nnnn2-c2nc3ccccc3s2)c1,MIC,'=',50.0,ug.mL-1,CHEMBL4343477
CHEMBL5639949,C=C1CC[C@@]2(O)C[C@@H]1[C@]2(C)[C@@H](CC=C(C)C)OC(C)=O,MIC,'=',8.0,ug.mL-1,CHEMBL5638662
CHEMBL1087042,CCOC(=O)C1=C(C)OC(N)=C(C#N)C1c1ccccc1,MIC,'=',64.0,ug.mL-1,CHEMBL1107709
CHEMBL110493,O=C(NO)C1COC(c2c(Cl)cccc2Cl)=N1,MIC,,,ug.mL-1,CHEMBL675322
CHEMBL94614,CCOC1=C(C(=O)[O-])N2C(=O)[C@H]([C@@H](C)O)[C@H]2S1.[Na+],MIC,'=',6.82,ug.mL-1,CHEMBL676857
CHEMBL4174300,CC1(C)C/C=C2/CCC(O)C(C)(CC3OC31)OC2,MIC,'=',430000.0,nM,CHEMBL4135831
CHEMBL4757348,CC(C)NCCOc1cc(C(N)=O)cc2ccccc12,MIC,'=',2.0,ug.mL-1,CHEMBL4720124
CHEMBL2030352,C[C@H]1CCCC[C@H]1Oc1ncc(C(N)=O)c(N)n1,MIC,'>',100000.0,nM,CHEMBL2034656
CHEMBL3823387,CCNC1=CC(=O)C(C(C)(C)C)=CC1=O,MIC,'=',188000.0,nM,CHEMBL3824610
CHEMBL4747975,C[C@H]1N[C@H](CCCCN)C(=O)NNC1=O,MIC,'=',31000.0,ug.mL-1,CHEMBL4680472
CHEMBL3357522,CCCCCCC1C/C(=N\O)c2c(O)cc(O)cc2O1,MIC,'=',3.13,ug.mL-1,CHEMBL3386988
CHEMBL494307,CCCc1ccsc1-c1ccc(O)c(O)c1,MIC,'=',4.0,ug.mL-1,CHEMBL989018
CHEMBL4793781,CC1=C[C@@H]2CN(C(=O)N2O[C@@H](F)C(=O)O)[C@@H]1C(N)=O,MIC,'=',8.0,ug.mL-1,CHEMBL4772009
CHEMBL448381,Cc1sc(C)c(-c2ccc(O)c(O)c2)c1Br,MIC,'=',9.0,ug.mL-1,CHEMBL989019
CHEMBL295551,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C3[C@@H](N)CCC[C@@H]3[C@H]12,MIC,'=',0.5,ug.mL-1,CHEMBL857190
CHEMBL3335720,C/C(=N/N=C1\NC(=O)CS1)C1CCCCC1,MIC,'>=',256.0,ug.mL-1,CHEMBL4194364
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,MIC,'>',1024.0,ug.mL-1,CHEMBL1662382
CHEMBL572,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,MIC,'=',6.25,ug.mL-1,CHEMBL4020473
CHEMBL56652,CCN1CCC(C)c2cc(Cc3cnc(N)nc3N)ccc21,MIC,'=',100.0,ug.mL-1,CHEMBL673737
CHEMBL5202066,COc1ccc(Cn2ccnc2C(=O)O)cc1,MIC,'=',1.0,ug.mL-1,CHEMBL5155366
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',4.0,ug.mL-1,CHEMBL1284956
CHEMBL4083570,O=c1[nH]c(-c2ccc(-c3ccccc3)cc2)nc2ccccc12,MIC,'>',128.0,ug.mL-1,CHEMBL4036416
CHEMBL1829722,Cc1cccc2c1CC1Sc3nnc(C(C)C)n3N=C21,MIC,'=',32.0,ug.mL-1,CHEMBL1833517
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',4.0,ug.mL-1,CHEMBL1218003
CHEMBL2396686,Oc1cccc(-c2nc3ccccc3[nH]2)c1,MIC,'=',12500.0,nM,CHEMBL2399645
CHEMBL224214,N#CC(C#N)=NNc1cccc(Cl)c1,MIC,'=',16.0,ug.mL-1,CHEMBL992267
CHEMBL4457703,CCOC(=O)CC1Oc2cc(N)ccc2NC1=O,MIC,'=',1027000.0,nM,CHEMBL4384417
CHEMBL523366,Cc1nc(C(=O)NC2CC2)c(-c2ccc(O)c(O)c2)s1,MIC,'=',103.0,ug.mL-1,CHEMBL989019
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'<',0.06,ug.mL-1,CHEMBL679009
CHEMBL2260585,N=C(N)c1ccc(-c2ccc(-c3cccs3)s2)nc1,MIC,'=',10.0,ug.mL-1,CHEMBL3055399
CHEMBL118359,CCCCCCCCOC(=O)c1ccncc1,MIC,'=',12.0,ug.mL-1,CHEMBL678776
CHEMBL12014,Cc1nccc2c1[nH]c1ccccc12,MIC,'=',8.0,ug.mL-1,CHEMBL5609779
CHEMBL5424804,S=C(Nc1ccccc1)Nc1cccc2cccnc12,MIC,'>',50000.0,nM,CHEMBL5363788
CHEMBL4099369,Cc1cc(O)c2c(c1O)[C@H](O)[C@H]1C[C@@H](O)C[C@@H](O)[C@@H]1C2=O,MIC,'=',32.0,ug.mL-1,CHEMBL4004922
CHEMBL86124,COc1ccc(C(=O)c2cc(OC)cc(OC)c2)cc1,MIC,,,ug.mL-1,CHEMBL677985
CHEMBL1923833,COC12C=CC(=O)C=C1C(=O)c1ccccc1O2,MIC,'=',125.0,ug.mL-1,CHEMBL1926016
CHEMBL3586541,CC1=CC(=O)C(C(C)(C)CC(=O)O)=C(C)C1=O,MIC,'>',100000.0,nM,CHEMBL3587508
CHEMBL4214667,O=c1[nH]nc(-c2cccc(OCc3ccccc3)c2)o1,MIC,'>',64.0,ug.mL-1,CHEMBL4188574
CHEMBL3298696,CCCCCCCCCCC[C@H](O)[C@H](C)N,MIC,'=',33000.0,nM,CHEMBL3816564
CHEMBL2260099,Clc1ccc(/N=C/c2cccs2)cc1,MIC,'=',200.0,ug.mL-1,CHEMBL3058393
CHEMBL5202385,O=C1O[C@@H](CO)CN1c1ccc(-c2ccccc2)c(F)c1,MIC,'=',16.0,ug.mL-1,CHEMBL5550755
CHEMBL2396687,COc1ccc2[nH]c(-c3ccccc3O)nc2c1,MIC,'=',100000.0,nM,CHEMBL2399645
